year,district,population,week,rhdailymean,rainsum,meantemperature,weekly_hospitalised_cases
2019,16,579984,1,,0,13.4,0
2019,16,579984,2,,0,15.4,0
2019,16,579984,3,,0,14.9,0
2019,16,579984,4,,11.8,16.1,0
2019,16,579984,5,,0,15.9,0
2019,16,579984,6,,33.4,17.1,0
2019,16,579984,7,,0,17.9,0
2019,16,579984,8,,0.6,19,0
2019,16,579984,9,,13.2,18.3,0
2019,16,579984,10,,0,18.6,0
2019,16,579984,11,,0,22,0
2019,16,579984,12,,19.8,21.3,0
2019,16,579984,13,,17.8,23.7,0
2019,16,579984,14,,47.5,24.6,0
2019,16,579984,15,,41.2,25.5,0
2019,16,579984,16,,15.2,26.5,0
2019,16,579984,17,,12.5,27.7,0
2019,16,579984,18,,25.7,28.8,0
2019,16,579984,19,,0,28.8,0
2019,16,579984,20,,24.4,28.6,0
2019,16,579984,21,,43.2,29,0
2019,16,579984,22,,27.3,29.5,0
2019,16,579984,23,,25,29.5,0
2019,16,579984,24,,31.8,30.6,0
2019,16,579984,25,,22.3,31,0
2019,16,579984,26,,82.9,30.7,0
2019,16,579984,27,,1.4,31.1,0
2019,16,579984,28,,208.9,28,0
2019,16,579984,29,,83.3,29.2,1
2019,16,579984,30,,236.8,28.2,2
2019,16,579984,31,,27.3,29.9,0
2019,16,579984,32,,74.2,30.3,0
2019,16,579984,33,,36.5,30.8,12
2019,16,579984,34,,14.9,30.1,50
2019,16,579984,35,,23.9,,40
2019,16,579984,36,,85.6,,44
2019,16,579984,37,,31.8,29.8,25
2019,16,579984,38,,169.7,27.6,10
2019,16,579984,39,,11.9,27.3,13
2019,16,579984,40,,4.5,27.2,9
2019,16,579984,41,,6.7,27.2,10
2019,16,579984,42,,0,26.1,14
2019,16,579984,43,,1.2,24.4,1
2019,16,579984,44,,0,23.5,4
2019,16,579984,45,,0,23.5,2
2019,16,579984,46,,0,23.2,5
2019,16,579984,47,,0,21.1,0
2019,16,579984,48,,0,20.3,2
2019,16,579984,49,,0,18.4,2
2019,16,579984,50,,24.8,16.7,0
2019,16,579984,51,,0,14.4,1
2019,16,579984,52,,0,14.6,0
2020,16,579984,1,,20,14,0
2020,16,579984,2,,13.3,14.1,0
2020,16,579984,3,,31.5,15.1,0
2020,16,579984,4,,0,14,0
2020,16,579984,5,,2,15.2,0
2020,16,579984,6,,0,15.1,0
2020,16,579984,7,,0,16.1,0
2020,16,579984,8,,7.3,18.9,0
2020,16,579984,9,,0,18.6,0
2020,16,579984,10,,16.1,20.6,0
2020,16,579984,11,,0,21,0
2020,16,579984,12,,2.7,21.6,0
2020,16,579984,13,,1.5,23.6,0
2020,16,579984,14,,0,23.9,0
2020,16,579984,15,,0,24.3,0
2020,16,579984,16,,37.3,27.3,0
2020,16,579984,17,,47.9,24.5,0
2020,16,579984,18,,22.4,25.6,0
2020,16,579984,19,,43.9,25.2,0
2020,16,579984,20,,17,27.1,0
2020,16,579984,21,,8,28.4,0
2020,16,579984,22,,88.8,28.1,0
2020,16,579984,23,,186.2,26,0
2020,16,579984,24,,135.7,29.6,1
2020,16,579984,25,,97.5,29.5,0
2020,16,579984,26,,83.1,28.5,0
2020,16,579984,27,,129.9,29,0
2020,16,579984,28,,311.2,29.5,0
2020,16,579984,29,,208.5,29.6,0
2020,16,579984,30,,296.1,27.9,0
2020,16,579984,31,,278.5,28.7,0
2020,16,579984,32,,88.9,30.6,0
2020,16,579984,33,,73,30.1,0
2020,16,579984,34,,20.8,29.7,0
2020,16,579984,35,,52.3,29.8,0
2020,16,579984,36,,63.6,30.1,0
2020,16,579984,37,,236.1,28.8,0
2020,16,579984,38,,244.8,28.4,0
2020,16,579984,39,,299.2,27.9,0
2020,16,579984,40,,0,28.9,0
2020,16,579984,41,,0,27.9,0
2020,16,579984,42,,0,27.3,0
2020,16,579984,43,,0,26.9,0
2020,16,579984,44,,0,25.5,0
2020,16,579984,45,,0,23,0
2020,16,579984,46,,0,21.2,0
2020,16,579984,47,,0,20,3
2020,16,579984,48,,0,18.3,0
2020,16,579984,49,,0,18.9,1
2020,16,579984,50,,0,17.9,0
2020,16,579984,51,,0,15.6,0
2020,16,579984,52,,0,14.9,0
2021,16,579984,1,,0,17.3,0
2021,16,579984,2,,0,15.9,0
2021,16,579984,3,,0,16,0
2021,16,579984,4,,0,14,0
2021,16,579984,5,,0,15.2,0
2021,16,579984,6,,0,17.1,0
2021,16,579984,7,,0,19,0
2021,16,579984,8,,0,20.5,0
2021,16,579984,9,,0,21.2,0
2021,16,579984,10,,0,22,0
2021,16,579984,11,,0,23.7,0
2021,16,579984,12,,0,24.2,0
2021,16,579984,13,,0,24.4,0
2021,16,579984,14,,0,24.8,0
2021,16,579984,15,,0,26.4,0
2021,16,579984,16,,0,26.4,0
2021,16,579984,17,,2.4,28.1,0
2021,16,579984,18,,61.6,25.3,0
2021,16,579984,19,,23.5,25.5,0
2021,16,579984,20,,24.7,27.9,0
2021,16,579984,21,,226.2,27.3,0
2021,16,579984,22,,3.5,29.4,0
2021,16,579984,23,,31.5,29.8,0
2021,16,579984,24,,288.6,27.5,0
2021,16,579984,25,,144.2,28.8,0
2021,16,579984,26,,195.8,27.4,0
2021,16,579984,27,,211.3,28.8,0
2021,16,579984,28,,27.5,29.9,0
2021,16,579984,29,,78,30.3,2
2021,16,579984,30,,42.5,29.8,1
2021,16,579984,31,,40.7,30.3,0
2021,16,579984,32,,107.6,29.2,0
2021,16,579984,33,,58.8,29.3,0
2021,16,579984,34,,206.5,27.5,0
2021,16,579984,35,,177.5,28,1
2021,16,579984,36,,27.4,29.3,0
2021,16,579984,37,,17.5,28.5,0
2021,16,579984,38,,17.2,29,2
2021,16,579984,39,,14.1,28.4,0
2021,16,579984,40,,23,28.3,0
2021,16,579984,41,,0,29.1,0
2021,16,579984,42,,131.9,26.6,0
2021,16,579984,43,,0,24.3,0
2021,16,579984,44,,0,22,0
2021,16,579984,45,,0,21.3,1
2021,16,579984,46,,0,20.2,0
2021,16,579984,47,,0,20.1,0
2021,16,579984,48,,0.5,19.5,0
2021,16,579984,49,,0,18.9,2
2021,16,579984,50,,0,16,0
2021,16,579984,51,,0,14.7,0
2021,16,579984,52,,32.3,15.3,0
2022,16,579984,1,,0,16.2,0
2022,16,579984,2,,0,16.7,1
2022,16,579984,3,,0,13.9,0
2022,16,579984,4,,0,14.6,0
2022,16,579984,5,,48.7,14.6,0
2022,16,579984,6,,0,15.8,0
2022,16,579984,7,,0,17.4,0
2022,16,579984,8,,2.4,17.5,0
2022,16,579984,9,,0,20.3,0
2022,16,579984,10,,0,22.8,0
2022,16,579984,11,,0,25.5,0
2022,16,579984,12,,0,26.6,0
2022,16,579984,13,,0,27.5,0
2022,16,579984,14,,1.5,28.2,0
2022,16,579984,15,,15.2,28,0
2022,16,579984,16,,11.9,27.8,0
2022,16,579984,17,,43.2,27.6,0
2022,16,579984,18,,90.3,27,1
2022,16,579984,19,,21.5,29.3,0
2022,16,579984,20,,51.2,28.6,0
2022,16,579984,21,,32.1,27.4,0
2022,16,579984,22,,144.8,28.4,0
2022,16,579984,23,,224.4,29.1,0
2022,16,579984,24,,122,29.6,2
2022,16,579984,25,,59.2,29.5,0
2022,16,579984,26,,175.2,29.7,1
2022,16,579984,27,,65.9,30.5,1
2022,16,579984,28,,5.3,31.1,1
2022,16,579984,29,,52.6,30.3,0
2022,16,579984,30,,121.9,29.3,3
2022,16,579984,31,,261.7,28.8,2
2022,16,579984,32,,12,31,6
2022,16,579984,33,,33.1,31.4,0
2022,16,579984,34,,13.8,30.7,1
2022,16,579984,35,,253.2,28.6,8
2022,16,579984,36,,165.6,29.1,29
2022,16,579984,37,,36.8,28.6,38
2022,16,579984,38,,39.2,29,23
2022,16,579984,39,,65.4,29,17
2022,16,579984,40,,308.1,27.1,21
2022,16,579984,41,,4.5,26.1,36
2022,16,579984,42,,0,24.4,66
2022,16,579984,43,,0,23.6,131
2022,16,579984,44,,0,22.3,165
2022,16,579984,45,,0,22.4,177
2022,16,579984,46,,0,20.4,81
2022,16,579984,47,,0,19.4,52
2022,16,579984,48,,0,19.3,32
2022,16,579984,49,,0,18.3,15
2022,16,579984,50,,0,17.8,9
2022,16,579984,51,,0,17.5,3
2022,16,579984,52,,0,15.4,0
2023,16,579984,1,,0,14.5,2
2023,16,579984,2,,0,14.2,3
2023,16,579984,3,,0,14.5,0
2023,16,579984,4,,0,17.8,0
2023,16,579984,5,,0,17.8,0
2023,16,579984,6,,0,17.8,1
2023,16,579984,7,,0,18.1,0
2023,16,579984,8,,0,21,0
2023,16,579984,9,,0,21.4,0
2023,16,579984,10,,0,22.5,0
2023,16,579984,11,,0,23.1,0
2023,16,579984,12,,0,22,0
2023,16,579984,13,,21.2,23.2,0
2023,16,579984,14,,0.5,23.7,0
